Question,Answer,Category,Language
ഏതു പൂവാണ് ആരും തലയിൽ വയ്ക്കാത്തത്?,മഞ്ഞുപൂവ്,Wordplay,Malayalam
വായയില്ലാത്ത വായ ഏതാണ്?,പുഴവായ,Wordplay,Malayalam
പല്ലില്ലാത്ത പല്ലി ഏതാണ്?,ചുവർപല്ലി,Wordplay,Malayalam
കടിക്കാത്ത പട്ടി ഏതാണ്?,തിരുമ്മുപട്ടി,Wordplay,Malayalam
തലയില്ലാത്ത തല ഏതാണ്?,കപ്പലണ്ടിത്തല,Wordplay,Malayalam
അക്ഷരമില്ലാത്ത പുസ്തകം ഏതാണ്?,ചിത്രപുസ്തകം,Wordplay,Malayalam
വാഴയില്ലാത്ത പഴം ഏതാണ്?,കായപ്പഴം,Wordplay,Malayalam
പുകയില്ലാത്ത തീ ഏതാണ്?,മനസ്താപം,Wordplay,Malayalam
കാലില്ലാത്ത കാലം ഏതാണ്?,മഴക്കാലം,Wordplay,Malayalam
കൈയില്ലാത്ത കൈ ഏതാണ്?,പലകൈ,Wordplay,Malayalam
കല്ലില്ലാത്ത കല്ല് ഏതാണ്?,നെല്ലിക്കല്ല്,Wordplay,Malayalam
കരിയല്ലാത്ത കരി ഏതാണ്?,കൺകരി,Wordplay,Malayalam
പൊട്ടില്ലാത്ത പൊട്ട് ഏതാണ്?,കുരുപ്പൊട്ട്,Wordplay,Malayalam
ചക്രമില്ലാത്ത വണ്ടി ഏതാണ്?,പല്ലക്കുവണ്ടി,Wordplay,Malayalam
മരമില്ലാത്ത കാട് ഏതാണ്?,താടിക്കോട്,Wordplay,Malayalam
കാറ്റില്ലാത്ത കാറ്റ് ഏതാണ്?,കരിങ്കാറ്റ്,Wordplay,Malayalam
വെള്ളമില്ലാത്ത പുഴ ഏതാണ്?,മണൽപുഴ,Wordplay,Malayalam
തിരിക്കാത്ത തിരി ഏതാണ്?,കൺതിരി,Wordplay,Malayalam
കുടിക്കാത്ത കഞ്ഞി ഏതാണ്?,മുണ്ടുകഞ്ഞി,Wordplay,Malayalam
ഏതു വഴിയാണ് ആരും നടക്കാത്തത്?,പടവഴി,Wordplay,Malayalam
ആരും വയ്ക്കാത്ത കറി ഏതാണ്?,ഉപ്പുകറി,Wordplay,Malayalam
തിന്നാത്ത അപ്പം ഏതാണ്?,മുത്തപ്പൻ,Wordplay,Malayalam
കെട്ടാത്ത താലി ഏതാണ്?,പനന്താലി,Wordplay,Malayalam
ഇരിക്കാത്ത കസേര ഏതാണ്?,മരണകസേര,Wordplay,Malayalam
കൊയ്യാത്ത നെല്ല് ഏതാണ്?,കരിനെല്ല്,Wordplay,Malayalam
കാണാത്ത വെളിച്ചം ഏതാണ്?,അകത്തെ വെളിച്ചം,Wordplay,Malayalam
കേൾക്കാത്ത ശബ്ദം ഏതാണ്?,മനസ്സിന്റെ ശബ്ദം,Wordplay,Malayalam
കാണാത്ത കപ്പൽ ഏതാണ്?,സങ്കല്പം,Wordplay,Malayalam
എടുക്കാത്ത വടി ഏതാണ്?,ഊന്നുവടി,Wordplay,Malayalam
പേടിക്കാത്ത കടുവ ഏതാണ്?,വരയൻ കടുവ,Wordplay,Malayalam
തിന്നാത്ത കായ ഏതാണ്?,കൈക്കാശ്,Wordplay,Malayalam
കാണാത്ത കല്ല് ഏതാണ്?,തറക്കല്ല്,Wordplay,Malayalam
തട്ടിവയ്ക്കരുത് എന്ന് പറയുന്ന വെയ്പ്പ് ഏതാണ്?,തട്ടിവെയ്പ്പ്,Wordplay,Malayalam
കെട്ടാത്ത കെട്ട് ഏതാണ്?,പുകക്കെട്ട്,Wordplay,Malayalam
തൂക്കാത്ത തൂക്കം ഏതാണ്?,അമിട്ടുതൂക്കം,Wordplay,Malayalam
മിണ്ടാത്ത വാക്ക് ഏതാണ്?,അപവാദം,Wordplay,Malayalam
ചൊല്ലാത്ത പാട്ട് ഏതാണ്?,ആട്ടുപാട്ട്,Wordplay,Malayalam
പൂട്ടാത്ത പൂട്ട് ഏതാണ്?,വെട്ടിക്കെട്ട്,Wordplay,Malayalam
ഉണ്ണാത്ത സദ്യ ഏതാണ്?,പട്ടണിസദ്യ,Wordplay,Malayalam
പിടിക്കാത്ത മീൻ ഏതാണ്?,കണ്ണിമീൻ,Wordplay,Malayalam
ഓടിക്കാത്ത പട ഏതാണ്?,പിൻപട,Wordplay,Malayalam
കെട്ടാത്ത മാല ഏതാണ്?,തിരമാല,Wordplay,Malayalam
കുഴിക്കാത്ത കുഴി ഏതാണ്?,കണ്ണുകുഴി,Wordplay,Malayalam
തടയാത്ത ഓട്ടം ഏതാണ്?,മരണപ്പാച്ചിൽ,Wordplay,Malayalam
കയ്യിൽ കിട്ടാത്ത പണം ഏതാണ്?,കള്ളപ്പണം,Wordplay,Malayalam
അടിയുണ്ടാക്കാത്ത തല്ല് ഏതാണ്?,പഴിത്തല്ല്,Wordplay,Malayalam
തുന്നാത്ത തുണി ഏതാണ്?,ചേമ്പില,Wordplay,Malayalam
ഉടുക്കാത്ത മുണ്ട് ഏതാണ്?,മറുമുണ്ട്,Wordplay,Malayalam
നമുക്ക് നടക്കാൻ പറ്റാത്ത വഴി ഏതാണ്?,ഇടവഴി,Wordplay,Malayalam
നഷ്ടത്തിന് വിപരീതമല്ലാത്ത കഷ്ടം ഏതാണ്?,കഷ്ടം,Wordplay,Malayalam
ചെല്ലാത്ത പുര ഏതാണ്?,ഗോപുരം,Wordplay,Malayalam
നമ്മൾ മിണ്ടാത്ത വാക്ക് ഏതാണ്?,കടുവാക്ക്,Wordplay,Malayalam
വിളിക്കാത്ത വിളി ഏതാണ്?,തലവിളി,Wordplay,Malayalam
അളക്കാൻ പറ്റാത്ത അളവ് ഏതാണ്?,മതിപ്പളവ്,Wordplay,Malayalam
വിതയ്ക്കാത്ത വിത്ത് ഏതാണ്?,മഞ്ഞവിത്ത്,Wordplay,Malayalam
കാണാത്ത കരി ഏതാണ്?,പുകക്കരി,Wordplay,Malayalam
മുറിക്കാൻ പറ്റാത്ത മരം ഏതാണ്?,തൂക്കുമരം,Wordplay,Malayalam
നമുക്ക് കിട്ടാത്ത ലോട്ടറി ഏതാണ്?,ചീട്ടുകളി,Wordplay,Malayalam
മുഖത്ത് വയ്ക്കാത്ത പൊട്ട് ഏതാണ്?,ചന്ദനപ്പൊട്ട്,Wordplay,Malayalam
ചൊല്ലാത്ത മന്ത്രം ഏതാണ്?,അട്ടഹാസം,Wordplay,Malayalam
നമുക്ക് ഇഷ്ടപ്പെടാത്ത ഭാഗ്യം ഏതാണ്?,നിർഭാഗ്യം,Wordplay,Malayalam
ആരും ആഗ്രഹിക്കാത്ത മാനം ഏതാണ്?,അപമാനം,Wordplay,Malayalam
കണ്ണാൽ കാണാത്ത കാഴ്ച ഏതാണ്?,പഴങ്കാഴ്ച,Wordplay,Malayalam
തിരുത്താൻ പറ്റാത്ത അക്ഷരം ഏതാണ്?,തലയക്ഷരം,Wordplay,Malayalam
ചെല്ലാത്ത കാട് ഏതാണ്?,പേടിക്കാട്,Wordplay,Malayalam
തിന്നാൻ പറ്റാത്ത പഴം ഏതാണ്?,തല്ലുപ്പഴം,Wordplay,Malayalam
വേദനയില്ലാത്ത തല്ല് ഏതാണ്?,മുട്ടത്തല്ല്,Wordplay,Malayalam
"பகலில் தூங்கும், இரவில் விழிக்கும் — நான் யார்?",வௌவால் (Bat),Logic,Tamil
"நான் மழையில் பிறந்தேன், ஆனால் தண்ணீரை வெறுக்கிறேன் — நான் என்ன?",மண் (Sand/Soil — gets wet but erodes),Logic,Tamil
"காற்றில்லாமல் பறக்கும், சிறகில்லாமல் ஓடும் — நான் என்ன?",மேகம் (Cloud),Logic,Tamil
ஆயிரம் கண் இருந்தும் ஒன்றும் காணமாட்டேன் — நான் யார்?,சலவைக் கல் / அன்னாசி (Pineapple — many eyes),Logic,Tamil
"தினமும் பிறக்கிறேன், தினமும் இறக்கிறேன், ஆனாலும் என்றும் உள்ளேன் — நான் என்ன?",சூரியன் (Sun),Logic,Tamil
"வெட்டினால் அழுகிறேன், தின்னால் சந்தோஷப்படுகிறேன் — நான் என்ன?",வெங்காயம் (Onion),Logic,Tamil
"என்னை யாரும் பார்க்கலாம், ஆனால் யாரும் தொட முடியாது — நான் என்ன?",நிழல் (Shadow),Logic,Tamil
"உயரே போனால் குளிர்ச்சி, கீழே வந்தால் சூடு — நான் என்ன?",தீ / நெருப்பு (நேர்மாறாக — மலை உயரத்தில் குளிர்; சூரியன் கீழே வந்தால் சூடு),Logic,Tamil
"இரவில் மட்டும் மலரும், பகலில் மறைந்துவிடும் — நான் யார்?",நட்சத்திரம் (Stars),Logic,Tamil
"கடலில் வாழ்கிறேன், ஆனால் உப்பல்ல — நான் என்ன?",நன்னீர் மீன் / சுறா (Fish in ocean — not salty itself),Logic,Tamil
"ஓடுகிறேன் ஆனால் கால் இல்லை, முனகுகிறேன் ஆனால் வாய் இல்லை — நான் என்ன?",ஆறு (River),Logic,Tamil
"சாகாமல் பிழைக்கும், தினமும் குடிக்காமல் வாழும் — நான் என்ன?",கள்ளி (Cactus),Logic,Tamil
"நான் கருப்பாக பிறந்தேன், சிவப்பாக வாழ்ந்தேன், மஞ்சளாக இறந்தேன் — நான் என்ன?",நெருப்பு தீக்கோல் (Matchstick / Coal),Logic,Tamil
"முன்னால் செல்லும், பின்னால் திரும்பாது — நான் என்ன?",நேரம் (Time),Logic,Tamil
என்னை தொட முயன்றால் தொலைவில் ஓடும் — நான் என்ன?,அடிவானம் / தொடுவானம் (Horizon),Logic,Tamil
"மரத்தில் பிறந்தேன், தண்ணீரில் வாழ்கிறேன் — நான் என்ன?",படகு (Boat),Logic,Tamil
"அனைவரும் பார்க்கிறார்கள், யாரும் தொடுவதில்லை — நான் என்ன?",வானவில் (Rainbow),Logic,Tamil
"சிறியதாக பிறந்தேன், வளர வளர சிறுக்கிறேன் — நான் என்ன?",மெழுகுவர்த்தி (Candle),Logic,Tamil
"முட்கள் உண்டு, ஆனால் தைக்காது; நகரும் ஆனால் கால் இல்லை — நான் என்ன?",ரோஜா செடி / முட்செடி (Rose bush / Cactus),Logic,Tamil
"காற்றை சாப்பிட்டு வாழ்கிறேன், காற்றே என் இறப்புக்கும் காரணம் — நான் என்ன?",நெருப்பு (Fire),Logic,Tamil
பறக்கிறேன் ஆனால் பறவை இல்லை; கொட்டுகிறேன் ஆனால் மழை இல்லை — நான் என்ன?,பட்டாம்பூச்சி / தேனீ (Bee — flies and stings),Logic,Tamil
"ஆயிரம் பற்கள் உண்டு, ஆனால் கடிக்காது — நான் என்ன?",சீப்பு (Comb),Logic,Tamil
தண்ணீரில் வாழ்கிறேன் ஆனால் ஈரமாக மாட்டேன் — நான் என்ன?,நிழல் (Reflection in water),Logic,Tamil
"என்னை சாப்பிட்டால் நீங்கள் உயிர் பிழைப்பீர்கள், என்னை சாப்பிடாவிட்டாலும் உயிர் பிழைப்பீர்கள் — நான் என்ன?",மருந்து (Medicine — you survive either way in minor illness),Logic,Tamil
"குளிரில் வெளுக்கும், வெயிலில் மறையும் — நான் என்ன?",பனி / மஞ்சு (Snow / Frost),Logic,Tamil
"கண் இல்லாமல் பார்க்கும், காது இல்லாமல் கேட்கும் — நான் என்ன?",கனவு (Dream),Logic,Tamil
"உங்களுடன் பிறந்தது, உங்களுடன் வளர்ந்தது, ஆனால் நீங்கள் அதை பார்க்க முடியாது — நான் என்ன?",முதுகு (Back),Logic,Tamil
"நான் இல்லாமல் நீங்கள் ஓடலாம், ஆனால் என்னை இல்லாமல் நடக்க கஷ்டம் — நான் என்ன?",காலணி / செருப்பு (Footwear),Logic,Tamil
"யாரும் என்னை வெளியே காட்ட விரும்புவதில்லை, ஆனால் யாரும் என்னை உள்ளே வைக்கவும் விரும்புவதில்லை — நான் என்ன?",கோழை / பயம் (Fear / Cowardice),Logic,Tamil
"தொட்டால் உணர்கிறேன், கண்டால் புரிகிறேன், ஆனால் இல்லாமல் போனால் தெரிவதில்லை — நான் என்ன?",வலி (Pain),Logic,Tamil
"என்னிடம் பேசலாம், ஆனால் நான் திரும்பி பேசமாட்டேன் — நான் என்ன?",படம் / புகைப்படம் (Photo / Portrait),Logic,Tamil
உலகிலேயே மிக வேகமான விஷயம் — நான் என்ன?,சிந்தனை / எண்ணம் (Thought),Logic,Tamil
"வெட்கப்படும்போது சிவக்கும், கோபப்படும்போதும் சிவக்கும் — நான் என்ன?",முகம் (Face),Logic,Tamil
"நான் உங்களுக்கு சொந்தமானது, ஆனால் மற்றவர்கள் என்னை அதிகமாக பயன்படுத்துகிறார்கள் — நான் என்ன?",உங்கள் பெயர் (Your Name),Logic,Tamil
"கேட்டால் பெருகும், கொடுத்தால் குறையாது — நான் என்ன?",அறிவு / கல்வி (Knowledge),Logic,Tamil
"தலையில் உள்ளது, வாலில் இல்லை — நான் என்ன? (நாணயத்தில்)",தலைப்படம் (Heads side of coin),Logic,Tamil
"சிரிக்கும்போது தோன்றும், அழும்போது மறையும் — நான் என்ன?",குழிகள் (Dimples),Logic,Tamil
"இரவில் மட்டும் வேலை செய்யும், பகலில் தூங்கும் — என் உடலில் உள்ள நான் என்ன?",கண் இமை / கண் (Eyelid — blinks/rests),Logic,Tamil
"என்னை யாரும் வாங்க முடியாது, ஆனால் யாரும் என்னை திருடவும் முடியாது — நான் என்ன?",நேரம் / வயது (Time / Age),Logic,Tamil
"நடக்கும்போது என்னை தூக்குகிறீர்கள், நிற்கும்போது என்னை கீழே வைக்கிறீர்கள் — நான் என்ன?",கால் (Leg — lifted while walking),Logic,Tamil
"குழந்தையாக இருக்கும்போது நான்கு கால்களில் நடப்பேன், பெரியவனாக இரண்டில் நடப்பேன், முதியவனாக மூன்றில் நடப்பேன் — நான் யார்?",மனிதன் (Human — Sphinx riddle),Logic,Tamil
உண்ண உண்ண வலிமை குறையும் ஆனால் உண்ணாவிட்டால் வலிமை அதிகரிக்கும் — நான் என்ன?,நோய் / நோதல் (நோய்க்கு மருந்து கொடுக்கும்போது உண்ணும் — நோய் குறையும்; starvation kills bacteria),Logic,Tamil
"பேசாமல் பேசும், தொடாமல் உணர்விக்கும் — நான் என்ன?",கடிதம் / புத்தகம் (Letter / Book),Logic,Tamil
"அனைவரும் என்னை வேண்டுகிறார்கள், ஆனால் யாரும் என்னை வைத்துக்கொள்ள விரும்புவதில்லை — நான் என்ன?",முதுமை (Old age),Logic,Tamil
"வலிக்கும்போது சிரிக்கும், சந்தோஷத்தில் அழும் — இது யார்?",நகைச்சுவை நடிகர் (Comedian — laughs through pain),Logic,Tamil
"என்னை கட்டினால் நோகும், கட்டவிழ்த்தால் சுகமாகும் — நான் என்ன?",காயம் / கட்டு (Wound dressing),Logic,Tamil
"பார்க்கும்போது இல்லை, கண்ணை மூடும்போது தெரியும் — நான் என்ன?",கனவு / இருள் (Dream / Darkness),Logic,Tamil
"ஐந்து சகோதரர்கள் ஒரே வீட்டில் வாழ்கிறார்கள், ஆனால் ஒருவரையொருவர் பார்ப்பதில்லை — யார் அவர்கள்?",விரல்கள் (Fingers),Logic,Tamil
"உங்கள் கண்ணுக்கு மேலே இருக்கும், ஆனால் நீங்கள் என்னை பார்க்க கண்ணாடி தேவை — நான் என்ன?",புருவம் (Eyebrow),Logic,Tamil
"தினமும் நீங்கள் என்னை கழட்டி வைக்கிறீர்கள், ஆனால் என்னை திருடியவரும் பயனில்லை — நான் என்ன?",பல் (Tooth — extracted tooth is useless to thief),Logic,Tamil
"வாய் இருக்கும், பேசாது; கண்கள் இருக்கும், பார்க்காது — நான் என்ன?",பொம்மை (Doll),Logic,Tamil
நான் ஓடுகிறேன் ஆனால் எங்கும் செல்வதில்லை — நான் என்ன?,கடிகாரம் (Clock),Logic,Tamil
"வெளியே கறுப்பு, உள்ளே சிவப்பு, விழுங்கும்போது கறுப்பு — நான் என்ன?","இரும்பு சட்டி / வேர்க்கடலை (Peanut — dark outside, eats become dark char)",Logic,Tamil
"நான் மேலே வருகிறேன், ஆனால் கீழே செல்வதில்லை — நான் என்ன?",புகை (Smoke),Logic,Tamil
"நான் இல்லாமல் வீடு இருளாகும், ஆனால் நான் வாழ வாழ சிறுக்கிறேன் — நான் என்ன?",மெழுகுவர்த்தி (Candle),Logic,Tamil
"சுத்தம் செய்ய வருகிறேன், ஆனால் நானே அழுக்காகிறேன் — நான் என்ன?",துடைப்பம் / தூரிகை (Broom / Brush),Logic,Tamil
"என்னை மேலே போட்டால் கீழே விழும், கீழே போட்டால் மேலே வரும் — நான் என்ன?",பந்து (Ball),Logic,Tamil
"உங்கள் வீட்டில் நடக்கும் அனைத்தையும் அறிவேன், ஆனால் வெளியே சொல்வதில்லை — நான் என்ன?",சுவர் (Wall),Logic,Tamil
"என்னை திறந்தால் மூடி வைப்பீர்கள், மூடினால் திறந்து வைப்பீர்கள் — நான் என்ன?",குடை (Umbrella),Logic,Tamil
"சோர்வடையாமல் ஓடும், தூங்காமல் காவல் காக்கும் — நான் என்ன?",பூட்டு (Lock),Logic,Tamil
"ஒரே ஒரு கால், ஆனால் ஓடாது; தலை இருக்கும், ஆனால் யோசிக்காது — நான் என்ன?",ஆணி (Nail),Logic,Tamil
"அனைவரும் என் மேல் ஏறுவார்கள், ஆனால் நான் எங்கும் செல்வதில்லை — நான் என்ன?",படிக்கட்டு (Staircase),Logic,Tamil
"என்னை காதில் போட்டுக்கொள்வார்கள், ஆனால் நான் காதோடு பேசுவதில்லை — நான் என்ன?",காதணி (Earring),Logic,Tamil
நான் உங்களை மூடுகிறேன் ஆனால் உடை இல்லை; உங்களை பாதுகாக்கிறேன் ஆனால் கதவு இல்லை — நான் என்ன?,நிழல் / கூரை (Shade / Roof),Logic,Tamil
ஆயிரம் கண்கள் இருந்தும் ஒரு துளி கண்ணீர் இல்லை — நான் என்ன?,வலை (Net / Fishing net),Logic,Tamil
"என்னை வாங்கும்போது புதியது, பயன்படுத்தும்போது பழையது, தூக்கி எறியும்போது மிகவும் பழையது — நான் என்ன?",காலணி (Shoes),Logic,Tamil
"இரவில் பரவும், பகலில் மடங்கும் — நான் என்ன?",படுக்கை விரிப்பு / பாய் (Bed sheet / Mat),Logic,Tamil
"நான் கருப்பு, சிவப்பு மற்றும் வெள்ளை — படிக்கப்படுகிறேன் ஆனால் ஒருபோதும் பேசுவதில்லை — நான் என்ன?",செய்தித்தாள் (Newspaper),Logic,Tamil
"கண்ணாடியில் என்னை பார்க்கலாம், ஆனால் கண்ணாடியில் என்னை தொட முடியாது — நான் என்ன?",பிரதிபலிப்பு (Reflection),Logic,Tamil
மேலே தலை கீழே கால் — நில்லாமல் ஓடும் — நான் என்ன?,மணல் கடிகாரம் (Hourglass),Logic,Tamil
"என்னிடம் பேசினால் எதிரொலிக்கும், ஆனால் நான் புரிந்துகொள்வதில்லை — நான் என்ன?",சுவர் / எதிரொலி (Echo / Wall),Logic,Tamil
"என்னை தண்ணீரில் போட்டால் வளரும், வெளியே எடுத்தால் சிறுக்கும் — நான் என்ன?",துணி (Wet cloth expands when wet),Logic,Tamil
நூறு கால்கள் உண்டு ஆனால் ஒரு அடி கூட எடுத்துவைக்காது — நான் என்ன?,நாற்காலி / மேசை (Chair / Table),Logic,Tamil
"என்னை இல்லாமல் வீட்டை பூட்ட முடியாது, ஆனால் நான் வீட்டுக்குள் வர மாட்டேன் — நான் என்ன?",சாவி (Key),Logic,Tamil
"இரண்டு முனைகள் உண்டு, நடுவில் ஆணி — எழுத பயன்படும் — நான் என்ன?",பென்சில் (Pencil),Logic,Tamil
"தோல் உரித்தால் அழுவார்கள், சமைத்தால் சிரிப்பார்கள் — நான் என்ன?",வெங்காயம் (Onion),Logic,Tamil
"கருப்பாக வாழ்ந்தேன், சிவப்பாக இறந்தேன், மஞ்சளாக புதைக்கப்பட்டேன் — நான் என்ன?","வாழைப்பழம் (Banana — green, yellow, then brown/buried)",Logic,Tamil
சட்டையைக் கழற்றினால் சத்துணவு — நான் என்ன?,வாழைப்பழம் (Banana),Logic,Tamil
உடம்பில்லா ஒருவன் பத்து சட்டை அணிந்திருப்பான் — நான் என்ன?,வெங்காயம் (Onion — many layers),Logic,Tamil
"தண்ணீரில் கொதிக்கும், தண்ணீரிலேயே மிதக்கும் — நான் என்ன?",முட்டை (Egg),Logic,Tamil
"நான் இல்லாமல் சாப்பிட முடியும், ஆனால் என்னுடன் சாப்பிட்டால் மேலும் ருசியாகும் — நான் என்ன?",உப்பு (Salt),Logic,Tamil
"என்னை வேக வைத்தால் நான் கடினமாவேன், உங்களை வேக வைத்தால் நீங்கள் மென்மையாவீர்கள் — நான் என்ன?",முட்டை (Egg — hard-boiled; humans soften in heat=sweat),Logic,Tamil
கொதிக்கும் கிணற்றில் குதித்துக் குண்டாகி வருவேன் — நான் என்ன?,பூரி (Puri — puffs up when fried),Logic,Tamil
"பூ பூக்கும், காய் காய்க்கும், ஆனால் பழம் பழுக்காது — நான் என்ன?","தேங்காய் (Coconut — stays as fruit, doesn't ripen like others)",Logic,Tamil
"நான் சிவப்பு, மஞ்சள், பச்சை ஆனால் ஒரே பொருள் — நான் என்ன?","மிளகாய் (Chilli — different colors, same thing)",Logic,Tamil
"வெளியே கடினம், உள்ளே மென்மை, உடைத்தால் உயிர் கொள்ளலாம் — நான் என்ன?",முட்டை (Egg),Logic,Tamil
"தண்ணீரில் பிறந்தேன், தண்ணீரில் வாழ்கிறேன், ஆனால் தண்ணீர் குடிப்பதில்லை — நான் என்ன?",மீன் (Fish),Logic,Tamil
"என்னை சுற்றிய ஆடை இருக்கும், ஆனால் நான் வெட்கப்பட மாட்டேன் — நான் என்ன?",சோளக்கதிர் (Corn — wrapped in husk),Logic,Tamil
"காட்டில் வளர்ந்தேன், கடலில் போனேன், வீட்டில் தங்கினேன் — நான் என்ன?","உப்பு (Salt — evaporated from sea, stored at home)",Logic,Tamil
"மேலே மண், கீழே மண், நடுவில் அழகான பெண் — நான் என்ன?",மஞ்சள் (Turmeric),Logic,Tamil
"சின்னதாக இருக்கும், ஆனால் கடும் மணம் வரும் — நான் என்ன?",பூண்டு (Garlic),Logic,Tamil
"ஒரு தாயின் நூறு குழந்தைகள், ஒரே கம்பளியில் படுத்திருக்கின்றனர் — நான் என்ன?",மாதுளை (Pomegranate — many seeds),Logic,Tamil
"நான் இல்லாமல் தேநீர் இல்லை, ஆனால் நான் தனியாக குடிக்க கசக்கும் — நான் என்ன?",தேயிலை (Tea leaf),Logic,Tamil
என்னை கொல்லாமல் தின்பார்கள் — நான் என்ன?,பழம் (Fruit — plucked not killed),Logic,Tamil
"சூடான நீரில் வலிமை பெறுவேன், குளிர் நீரில் பலவீனமாவேன் — நான் என்ன?","தேநீர் (Tea — brews in hot, weakens in cold)",Logic,Tamil
"வெட்டும்போது கண்ணீர் வரும், சாப்பிடும்போது சிரிப்பு வரும் — நான் என்ன?",வெங்காயம் (Onion),Logic,Tamil
"நான் மரத்தில் பிறந்தேன், கல்லில் உடைக்கப்பட்டேன், தண்ணீரில் கலக்கப்பட்டேன் — நான் என்ன?",தேங்காய் (Coconut),Logic,Tamil
"என்னை சாப்பிட்டால் பலம் கிடைக்கும், ஆனால் என்னை தூக்கினால் கஷ்டமாகும் — நான் என்ன?",இரும்பு / கனமான சத்தான உணவு (Iron / heavy nutritious food),Logic,Tamil
"இலை இருக்கும் ஆனால் மரம் இல்லை, நீர் இருக்கும் ஆனால் ஆறு இல்லை, வயல் இருக்கும் ஆனால் நிலம் இல்லை — நான் என்ன?","டீ கப் (Tea cup — tea leaf, liquid, tray)",Logic,Tamil
"நான் கருப்பு, சின்னது, ஆனால் வலி தரும் — நான் என்ன?",மிளகு (Black pepper),Logic,Tamil
"இறக்கை இருக்கும் ஆனால் பறக்காது, நடப்பதும் இல்லை — நான் யார்?",பென்குயின் (Penguin),Logic,Tamil
"கண்ணீர் வடிக்கும், ஆனால் அழவதில்லை — நான் யார்?",முதலை (Crocodile — crocodile tears),Logic,Tamil
தன் வீட்டை முதுகில் சுமக்கும் — நான் யார்?,நத்தை / ஆமை (Snail / Tortoise),Logic,Tamil
"பால் தரும் ஆனால் பசு இல்லை, முட்டை தரும் ஆனால் கோழி இல்லை — நான் யார்?","தேனீ (Bee — honey, not milk/eggs directly)",Logic,Tamil
என் காதுகள் என் கண்களை விட பெரியது — நான் யார்?,முயல் (Rabbit),Logic,Tamil
"இரவில் பறக்கும், இரவிலேயே தூங்கும் — நான் யார்?",வௌவால் (Bat — sleeps while hanging upside down),Logic,Tamil
"நான் மிக சிறியது, ஆனால் என்னை யாரும் தூக்க விரும்புவதில்லை — நான் யார்?",எலி / பாம்பு (Snake — small but feared),Logic,Tamil
"மேயும் ஆனால் ஆடு இல்லை, கட்டி வைக்கப்படும் ஆனால் குற்றவாளி இல்லை — நான் யார்?",பசு (Cow — tied but innocent),Logic,Tamil
"காட்டின் மன்னன் என்று சொல்வார்கள், ஆனால் மிக வேகமாக ஓடுவது நான் இல்லை — நான் யார்?",சிங்கம் (Lion — not the fastest),Logic,Tamil
"என்னை பார்த்தால் வேகமாக ஓடுவார்கள், என்னை கொல்வதற்கு தயங்க மாட்டார்கள் — நான் யார்?",பாம்பு (Snake),Logic,Tamil
"சமுத்திரத்தில் மிகப் பெரியது, ஆனால் மிக நிதானமாக நகரும் — நான் யார்?",நீல திமிங்கலம் (Blue Whale),Logic,Tamil
"இறகு இருக்கும் ஆனால் பறவை இல்லை, நீந்தும் ஆனால் மீன் இல்லை — நான் யார்?",வாத்து (Duck),Logic,Tamil
"கோடை காலத்தில் பூமிக்குள் போவேன், மழை காலத்தில் வெளியே வருவேன் — நான் யார்?",மண்புழு / தவளை (Earthworm / Frog),Logic,Tamil
"தண்ணீரில் வாழ்வேன், ஆனால் தண்ணீரில் சாவேன் — நான் யார்?",உப்பு நீர் மீன் நன்னீரில் (Saltwater fish in freshwater),Logic,Tamil
"ஒரு நாளில் ஆயிரம் மைல் பயணிக்கும், ஆனால் அதே இடத்திலேயே இருக்கும் — நான் யார்?",கடிகாரத்தின் முள் (Clock hands — travel but stay in place),Logic,Tamil
"பறக்கும் ஆனால் பறவை இல்லை, கொட்டும் ஆனால் மழை இல்லை — நான் யார்?",தேனீ (Bee — flies and stings),Logic,Tamil
என் வாலை நான் ஒருபோதும் பார்க்க முடியாது — நான் யார்?,நாய் (Dog — tail behind),Logic,Tamil
"சத்தமின்றி நடப்பேன், சத்தமின்றி கொல்வேன் — நான் யார்?",புலி / சிறுத்தை (Tiger / Leopard),Logic,Tamil
"எல்லாவற்றையும் தின்பேன், ஆனால் பசி தீராது — நான் யார்?",தீ (Fire),Logic,Tamil
"பார்க்க சின்னது, ஆனால் என் ஒலி மிகவும் பெரியது — நான் யார்?",தவளை (Frog — small but loud croak),Logic,Tamil
"என்னிடம் ஊசி இருக்கும், ஆனால் தையல்காரன் இல்லை — நான் யார்?",முள்ளம்பன்றி (Porcupine),Logic,Tamil
"சிறகு இல்லாமல் பறப்பேன், கால் இல்லாமல் நடப்பேன் — நான் யார்?",எண்ணம் / சிந்தனை (Thought — travels without wings),Logic,Tamil
"பகலில் கண்ணைக் குருடாக்கும், இரவில் தெளிவாக காண்பிக்கும் — நான் யார்?","ஆந்தை (Owl — poor in daylight, sharp at night)",Logic,Tamil
"காட்டில் உள்ளது, பட்டணத்திலும் உள்ளது — இரண்டும் ஒன்றோ வேற வேறோ?","சிங்கம் — காட்டில் வாழும், படத்தில் பட்டணத்திலும் இருக்கும் (Lion — real and depicted)",Logic,Tamil
"என் வயிற்றில் குட்டி வளரும், ஆனால் நான் பறவை — நான் யார்?","கண்காரு (Kangaroo — not a bird, tricky riddle)",Logic,Tamil
"சொல்லாமலே கற்றுக்கொடுக்கும், பார்க்காமலே காண்பிக்கும் — நான் என்ன?",புத்தகம் (Book),Logic,Tamil
